Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
419;expert;Shane Smith;2017;0;1;4;28
420;expert;Ramanathan;2017;1;0;2;28
421;expert;Narendra Prasath;2018;0;1;3;28
422;expert;Kaushal Shah;2018;0;1;2;28
423;expert;Jay tilala;2019;0;0;3;28
424;expert;Abhinand;2019;0;1;4;28
425;expert;Pierre-Louis DANIEAU;2020;0;0;3;28
426;expert;Nisarg Chodavadiya;2021;0;0;3;28
427;expert;Mayur Dalvi;2021;0;0;4;28
428;expert;See--;2017;1;0;2;27
429;expert;Vineeth;2017;0;0;4;27
430;expert;Nitisha;2018;0;1;3;27
431;expert;Dwarika Teli;2018;0;0;6;27
432;expert;Satyajit Pattnaik;2019;0;0;6;27
433;expert;Valentyn Sichkar;2019;0;1;2;27
434;expert;Sayantan Kirtaniya;2020;0;0;5;27
435;expert;Soumyadip Sarkar;2020;0;0;6;27
436;expert;Vishnu Varthan Rao;2020;1;0;2;27
437;expert;Sidharth Kumar Mohanty;2021;0;0;5;27
438;expert;Lázaro;2021;0;1;3;27
439;expert;Umesh Kumar Adari;2021;0;0;4;27
440;expert;Niek van der Zwaag;2021;0;0;3;27
441;expert;dr. Konya;2017;0;0;3;26
442;expert;Bjorn;2018;0;0;4;26
443;expert;Landry KEZEBOU;2018;0;0;4;26
444;expert;ozgurdogan;2019;0;0;3;26
445;expert;Anton Kostin;2019;0;0;4;26
446;expert;Mohammad Reza Ghari;2020;0;2;1;26
447;expert;Vipin Kumar;2020;0;0;3;26
448;expert;Manish Sharma;2020;0;0;5;26
449;expert;Paulo Breviglieri;2020;0;0;5;26
450;expert;Saurabh Patra;2020;0;0;4;26
451;expert;Osiris;2021;0;1;4;26
452;expert;Chanon Charuchinda;2021;0;0;3;26
453;expert;HAIDER MASOOD;2021;0;0;4;26
454;expert;Ahmed Dawoud;2021;0;0;4;26
455;expert;khaIid;2021;0;0;3;26
456;expert;CaptainClever;2021;0;0;5;26
457;expert;Liling Tan;2014;0;0;9;25
458;expert;Mark Peng;2014;0;0;5;25
459;expert;Vasiliy;2017;0;0;4;25
460;expert;Fellipe Gomes;2018;0;2;2;25
461;expert;Arman Malekzadeh Lashkaryani;2018;0;0;3;25
462;expert;Akshat Dubey;2019;0;2;1;25
463;expert;Sreshta Putchala;2019;0;0;3;25
464;expert;Erin Ward;2019;0;0;6;25
465;expert;Marco Carujo;2020;0;0;3;25
466;expert;Jin Bonnie;2020;0;0;5;25
467;expert;Daniboy370;2020;0;1;2;25
468;expert;SHREYAS P J;2020;0;0;3;25
469;expert;Shubham Singh;2020;0;0;3;25
470;expert;Kaveh Shahhosseini;2020;0;0;3;25
471;expert;The ML PhD Student;2021;0;0;5;25
472;expert;Arif Eker;2021;0;0;4;25
473;expert;Abir ELTAIEF;2021;0;0;4;25
474;expert;sonu kumari;2021;0;0;4;25
475;expert;Elias Dabbas;2016;0;1;2;24
476;expert;yu4u;2017;0;0;3;24
477;expert;Jean-Michel D.;2017;1;0;3;24
478;expert;LiamLarsen;2017;0;2;5;24
479;expert;Asim Zahid;2019;0;0;3;24
480;expert;podsyp;2019;0;0;9;24
481;expert;Prateek Majumder;2019;0;0;4;24
482;expert;AndresHG;2020;0;0;4;24
483;expert;Gotam Dahiya;2020;0;0;3;24
484;expert;Somesh Sharma;2020;0;0;9;24
485;expert;Mohamed abdelrazik;2020;0;1;3;24
486;expert;Haithem Hermessi;2020;0;0;7;24
487;expert;Nischay Dhankhar;2020;0;0;4;24
488;expert;Abhishek Kumar;2020;0;0;3;24
489;expert;Omar Hany;2020;0;1;2;24
490;expert;Abishek Sudarshan;2015;0;1;2;23
491;expert;Daisuke Ishii;2017;0;1;4;23
492;expert;Pranav Hari;2018;0;0;5;23
493;expert;Parth Chokhra;2018;0;0;3;23
494;expert;Satyam Prasad Tiwari;2019;0;1;2;23
495;expert;Paul;2019;0;2;2;23
496;expert;Md. Redwan Karim Sony;2019;0;0;5;23
497;expert;Tanishq Gautam;2020;0;0;3;23
498;expert;Harsh Walia;2020;0;0;3;23
499;expert;Alif Rahman;2020;0;0;3;23
500;expert;Atharva Ingle;2020;0;1;2;23
501;expert;Sohom Majumder;2020;0;0;3;23
502;expert;Sujan Shirol;2020;0;0;4;23
503;expert;Shreya Sajal;2020;0;0;3;23
504;expert;Ashfak Yeafi;2020;0;0;4;23
505;expert;vyom bhatia;2020;0;0;5;23
506;expert;D_aniel122;2020;0;0;3;23
507;expert;Kritanjali Jain;2020;0;0;3;23
508;expert;vad13irt;2021;0;0;3;23
509;expert;T.J. Kyner;2021;0;0;4;23
510;expert;AngadChau;2021;0;0;3;23
511;expert;Dhinahar P;2021;0;0;3;23
512;expert;Johannes Hötter;2021;0;0;3;23
513;expert;Aslan Ahmedov;2021;0;0;3;23
514;expert;Eu Jin Lok;2011;0;1;2;22
515;expert;LPLenka;2017;0;1;3;22
516;expert;Adnan Zaidi;2018;0;2;1;22
517;expert;stpete_ishii;2019;0;0;3;22
518;expert;KAZI SHAMIM SHAHAREAR ISLAM;2019;0;0;3;22
519;expert;Ishan Kotian;2019;0;0;3;22
520;expert;VIVEK;2020;0;0;3;22
521;expert;Aayush Kandpal;2020;0;0;5;22
522;expert;TEJA KUMAR;2020;0;0;3;22
523;expert;Kaito;2020;0;0;4;22
524;expert;Muhammad Shahid Mirza;2021;0;0;3;22
525;expert;Tasneem Abdul Rahim;2021;0;0;5;22
526;expert;Muhammad Imran Zaman;2021;0;0;4;22
527;expert;Prathik Mohan;2021;0;0;3;22
528;expert;Yotoro;2021;0;0;3;22
529;expert;Levent Özdemir;2021;0;0;3;22
530;expert;Brandon Qilin Hung;2021;0;0;3;22
531;expert;Saurav Agarwal;2014;0;0;6;21
532;expert;Jeff Heaton;2014;0;0;4;21
533;expert;SkyLord;2015;0;0;3;21
534;expert;ryches;2017;0;2;3;21
535;expert;Mohammad Shahebaz;2017;0;0;4;21
536;expert;Saman Siadati;2018;0;2;1;21
537;expert;Hieu Phung;2018;0;0;4;21
538;expert;VIGNESH KUMAR.K;2018;0;0;3;21
539;expert;soham mukherjee;2019;0;0;7;21
540;expert;Ashwani Rathee;2020;0;1;2;21
541;expert;Mostafa Faramin;2020;0;0;3;21
542;expert;Jyot Makadiya;2020;0;0;4;21
543;expert;Vagif Aliyev;2020;0;0;4;21
544;expert;Mohsin Raza;2020;0;0;4;21
545;expert;Abu Bakar;2020;0;0;3;21
546;expert;Jen Wadkins;2021;0;0;4;21
547;expert;Diksha Bhati;2021;0;0;3;21
548;expert;Sameer Patel;2021;0;0;4;21
549;expert;Maximiliano Diaz Battan;2021;0;0;3;21
550;expert;Binary Joker;2021;0;0;4;21
551;expert;Khushee Kapoor;2021;0;0;3;21
552;expert;Chanran Kim;2018;0;0;4;20
553;expert;ahmettezcantekin;2018;0;1;4;20
554;expert;Mohammad Essam;2018;0;0;4;20
555;expert;palak sood;2018;0;0;6;20
556;expert;SAIF UDDIN;2019;0;0;5;20
557;expert;akensert;2019;0;2;2;20
558;expert;Convophile;2019;0;0;4;20
559;expert;Prakhar Rathi;2019;0;1;3;20
560;expert;Akarsh Singh;2020;0;0;3;20
561;expert;Sokolov Aleksandr;2020;0;0;3;20
562;expert;Rohit Sahoo;2020;0;1;2;20
563;expert;Jeffrey Braun;2020;0;1;2;20
564;expert;Jay;2020;0;0;3;20
565;expert;Aakash Verma;2021;0;0;3;20
566;expert;Rasel Ahmed;2021;0;0;4;20
567;expert;Shahrayar;2021;0;0;4;20
568;expert;Sana Shaikh;2021;0;0;3;20
569;expert;Abdumalik Khoshimov;2021;0;0;4;20
570;expert;T Rohit Bharadwaj;2021;0;0;3;20
571;expert;Raja CSP;2016;0;0;4;19
572;expert;Jeff Faudi;2016;0;0;3;19
573;expert;Arpit Dwivedi;2019;0;0;4;19
574;expert;Alexey Kotlik;2019;0;1;2;19
575;expert;Bavalpreet;2019;0;0;5;19
576;expert;Rishabh Sethia;2019;0;0;3;19
577;expert;Prajit T R;2020;0;0;3;19
578;expert;Rohit Singh;2020;0;0;4;19
579;expert;Abhishek Gupta;2020;0;0;7;19
580;expert;Tanuj dhiman;2020;0;0;6;19
581;expert;Manish KC;2020;0;0;4;19
582;expert;Abhranta Panigrahi;2021;0;0;3;19
583;expert;Shivam Modi;2021;0;0;3;19
584;expert;HamnaKhalid;2021;0;0;3;19
585;expert;Salio;2021;0;0;3;19
586;expert;Canggih P Wibowo;2017;0;1;3;18
587;expert;Peter;2017;0;2;1;18
588;expert;AnkurJain;2018;1;0;2;18
589;expert;Samruddhi Mhatre;2018;0;0;3;18
590;expert;Srinidhi;2018;0;0;3;18
591;expert;Tomas Mantero;2018;0;0;3;18
592;expert;milan;2018;0;0;4;18
593;expert;Ashish Goswami;2019;0;0;4;18
594;expert;Zohaib Ahmed;2020;0;0;3;18
595;expert;aman2000jaiswal;2020;0;1;2;18
596;expert;Ravi Sane;2020;0;0;4;18
597;expert;Ertuðrul Demir;2020;0;1;3;18
598;expert;Jai Ganesh Nagidi;2020;0;0;3;18
599;expert;Akhilesh D. Kapse;2020;0;0;3;18
600;expert;Homayoon khadivi;2020;0;0;3;18
601;expert;Dilara Þahan;2021;0;0;3;18
602;expert;Amanda;2021;0;0;3;18
603;expert;YashSharma;2021;0;0;3;18
604;expert;Yuvraj Singh;2021;0;0;5;18
605;expert;Motaz Saad;2016;0;0;3;17
606;expert;Carlos Souza;2017;0;0;4;17
607;expert;qiriro;2017;0;0;3;17
608;expert;Marlesson;2017;0;0;3;17
609;expert;Muhammad Navaid;2018;0;0;3;17
610;expert;Santosh kumar;2018;0;0;3;17
611;expert;BrandontheCoder;2019;0;0;3;17
612;expert;Piyush Agnihotri;2019;0;0;4;17
613;expert;Naman Jaswani;2020;0;0;4;17
614;expert;Shantanu Tripathi;2020;0;0;3;17
615;expert;G_R_S;2020;0;0;6;17
616;expert;Ultron;2020;0;0;3;17
617;expert;Itokiana RAFIDINARIVO;2020;0;0;3;17
618;expert;Abhishek Shrivastava;2020;0;0;4;17
619;expert;Javagar M;2020;0;0;4;17
620;expert;Khosiyat Sobir;2020;0;0;3;17
621;expert;Krishna;2020;0;0;3;17
622;expert;Patrick Gomes;2020;0;0;4;17
623;expert;SALMAN FAROZ;2020;0;0;5;17
624;expert;sai pavan saketh;2021;0;0;3;17
625;expert;kushal Agrawal;2021;0;0;4;17
626;expert;Manas Marathe;2021;0;0;3;17
627;expert;Bukun;2013;0;0;3;16
628;expert;AiswaryaRamachandran;2015;0;0;3;16
629;expert;Mesum Raza Hemani;2017;0;0;3;16
630;expert;Ahiale Darlington;2017;0;0;3;16
631;expert;Leonardo Ferreira;2017;0;1;2;16
632;expert;Ulrich G.;2018;0;0;4;16
633;expert;Tarun Paparaju;2018;0;0;4;16
634;expert;Akash kumar;2018;0;0;5;16
635;expert;Mehmet Sungur;2019;0;0;4;16
636;expert;Amit Hasan Shuvo;2019;0;0;3;16
637;expert;Vatsal Parsaniya;2019;0;0;3;16
638;expert;Deepak Deepu;2020;0;1;2;16
639;expert;vipul;2020;0;0;5;16
640;expert;ASHISH GOYAL;2020;0;0;3;16
641;expert;Maksym Shkliarevskyi;2020;0;0;3;16
642;expert;Thaddeus Segura;2020;0;0;6;16
643;expert;Yerram Varun;2020;0;0;3;16
644;expert;Hotson Honet;2020;0;0;4;16
645;expert;Al Yeasin;2020;0;0;3;16
646;expert;Vivekkumar Gediya;2020;0;0;4;16
647;expert;Iþýl Güler;2021;0;0;5;16
648;expert;FunkyMonk;2021;0;0;3;16
649;expert;Sahar Pourahmad;2021;0;0;3;16
650;expert;Tanusha Gupta;2021;0;0;4;16
651;expert;ELoo;2021;0;0;3;16
652;expert;MsSmartyPants;2021;0;0;4;16
653;expert;JackyWang;2016;0;1;2;15
654;expert;Muhammad Nakhaee;2016;0;0;3;15
655;expert;Ashadullah Shawon;2018;0;0;3;15
656;expert;Tania J;2018;0;2;1;15
657;expert;yuval reina;2018;0;2;1;15
658;expert;ratan rohith;2018;0;0;5;15
659;expert;Tarek Hamdi;2018;0;0;6;15
660;expert;Noah Weber;2018;0;0;5;15
661;expert;Nagesh Singh Chauhan;2018;0;0;4;15
662;expert;Smriti;2019;0;0;4;15
663;expert;Rushikesh Hiray;2019;0;0;4;15
664;expert;Ravi Chaubey;2019;0;0;3;15
665;expert;Shubham Singh;2020;0;0;3;15
666;expert;ROSHAN KUMAR G;2020;0;0;4;15
667;expert;Aadhav Vignesh;2020;0;0;3;15
668;expert;Parth Chhabra;2020;0;0;4;15
669;expert;Khushi Shahh;2020;0;0;3;15
670;expert;Kushagra Singh;2020;0;0;3;15
671;expert;Hammad Ali;2020;0;0;3;15
672;expert;darth manav;2021;0;0;4;15
673;expert;saiabhiteja Chepuri;2021;0;0;3;15
674;expert;Eisha Hassan;2021;0;0;3;15
675;expert;Moath Mohamed;2021;0;0;3;15
676;expert;Shravan Kumar Koninti;2012;0;0;3;14
677;expert;CPMP;2013;0;0;3;14
678;expert;Nicholle @ Datafiniti;2017;0;2;2;14
679;expert;Daniel Grijalva;2018;0;1;2;14
680;expert;Vlad Golubev;2018;0;0;5;14
681;expert;Mustafa Fatakdawala;2018;0;0;3;14
682;expert;zzy;2018;0;0;3;14
683;expert;Artificial Intelligence inIT;2018;0;0;6;14
684;expert;nosound;2019;0;1;2;14
685;expert;Meric Pakkan;2019;0;0;4;14
686;expert;KhanhVD;2019;0;0;3;14
687;expert;Jose Guzman;2019;0;0;3;14
688;expert;Aishwarya;2019;0;0;3;14
689;expert;Abu Noman Md. Sakib;2019;0;0;5;14
690;expert;Felix Mejia;2020;0;0;4;14
691;expert;Anubha Singh;2020;0;0;3;14
692;expert;Vitaliy Malcev;2020;0;0;5;14
693;expert;Atharv Chaudhari;2020;0;0;3;14
694;expert;MohanDeep;2020;0;0;3;14
695;expert;Ihor Muliar;2020;0;0;3;14
696;expert;Maneesh;2020;0;0;5;14
697;expert;spin fit;2020;0;0;3;14
698;expert;Abhishek252;2021;0;0;3;14
699;expert;Jeremy Howard;2011;0;0;6;13
700;expert;Sudipta Kar;2014;0;0;3;13
701;expert;Bouwe Ceunen;2017;0;0;4;13
702;expert;Harveen Singh Chadha;2018;0;0;3;13
703;expert;Debadri Dutta;2018;0;0;4;13
704;expert;itsshavar;2018;0;0;4;13
705;expert;Evan Hallmark;2018;0;1;3;13
706;expert;Deniz Yigit;2018;0;0;3;13
707;expert;fireflies;2019;0;0;3;13
708;expert;Vyacheslav Razin;2019;0;0;3;13
709;expert;Chaitanya Krishna Kasaraneni;2019;0;0;4;13
710;expert;Yogesh Singla;2019;0;0;4;13
711;expert;Fedi Ben Messaoud;2020;0;0;4;13
712;expert;Amol Ambkar;2020;0;0;4;13
713;expert;Abhishek;2020;0;0;3;13
714;expert;Utshab Kumar Ghosh;2020;0;0;3;13
715;expert;ÜNAL KÖROÐLU;2020;0;0;3;13
716;expert;Ayyuce Kaytazci;2020;0;0;3;13
717;expert;Umerkk12;2020;0;0;3;13
718;expert;Kosta R;2021;0;0;3;13
719;expert;Shesh Narayan Gupta;2021;0;0;3;13
720;expert;Ceshine Lee;2013;0;0;3;12
721;expert;James McGuigan;2015;0;0;4;12
722;expert;Dmytro Danevskyi;2016;0;0;4;12
723;expert;Anshul Sharma;2018;0;0;4;12
724;expert;Ilham Firdausi Putra;2018;0;0;3;12
725;expert;Victor Geislinger;2018;0;0;3;12
726;expert;Harshit Kapoor;2018;0;0;3;12
727;expert;Tien Tran;2019;0;0;3;12
728;expert;Sagar Khanna;2019;0;0;3;12
729;expert;Shangqiu Li;2019;0;1;3;12
730;expert;ManjotSinghDhillon;2020;0;0;3;12
731;expert;Ada Kibet;2020;0;0;4;12
732;expert;Dionisius Darryl Hermansyah;2020;0;0;4;12
733;expert;Ankit Verma;2020;0;0;3;12
734;expert;Julia Says;2020;0;0;3;12
735;expert;Sina Tavakoli Banizi;2020;0;0;3;12
736;expert;Sai Ram K;2020;0;0;3;12
737;expert;Dhiraj Nirne;2020;0;0;3;12
738;expert;Hasan Ersan Yaðcý;2021;0;0;3;12
739;expert;Chaitanya Hivlekar;2021;0;0;3;12
740;expert;Fahd;2014;0;0;3;11
741;expert;thatdataanalyst;2017;0;0;3;11
742;expert;Raghawendra Singh;2018;0;0;3;11
743;expert;Leigh;2018;0;0;3;11
744;expert;Yegor Biryukov;2019;0;0;3;11
745;expert;Prageeth Anjula;2019;0;0;3;11
746;expert;Gokul raj K.;2020;0;0;3;11
747;expert;YASH DIXIT_24;2020;0;0;3;11
748;expert;Minnie Liang;2020;0;0;4;11
749;expert;Dev Chauhan;2020;0;0;3;11
750;expert;Selen Susuz;2021;0;0;3;11
751;expert;Ravindranadh Bobbili;2021;0;0;4;11
752;expert;Zheyu Ye;2021;0;0;3;11
753;expert;NohrUd;2021;0;0;3;11
754;expert;Jose Berengueres;2012;0;1;2;10
755;expert;Abed Khooli;2015;0;0;3;10
756;expert;Evgeny_Semyonov;2016;0;0;3;10
757;expert;Ouassim Adnane;2017;0;0;3;10
758;expert;Robin Smits;2017;0;0;3;10
759;expert;Peijen Lin;2018;0;1;3;10
760;expert;Sugandh;2018;0;0;4;10
761;expert;Aadarsh Singh;2018;0;0;3;10
762;expert;Dhananjay Raut;2019;0;0;3;10
763;expert;voru588;2019;0;0;5;10
764;expert;PyKeyo;2019;0;0;3;10
765;expert;Dhruv;2019;0;0;3;10
766;expert;Foridur;2019;0;0;3;10
767;expert;Pulkit Mehta;2019;0;0;3;10
768;expert;Yassine Hamdaoui;2019;0;0;3;10
769;expert;Nandan Pandey;2019;0;0;3;10
770;expert;Kunal Gupta;2019;0;0;3;10
771;expert;Achintya Tripathi;2019;0;0;3;10
772;expert;Pooja Jain;2020;0;0;3;10
773;expert;Rishabh Dhyani;2020;0;0;3;10
774;expert;Md Mahmud Ferdous;2020;0;0;3;10
775;expert;???????;2020;0;0;4;10
776;expert;Soorya Prakash;2020;0;0;3;10
777;expert;Shishir Singh;2020;0;0;3;10
778;expert;MD. Mehedi Hassan Galib;2020;0;0;3;10
779;expert;Harshit Bansal;2021;0;0;3;10
780;expert;Jamie Leech;2021;0;0;3;10
781;expert;Brian Roach;2013;0;1;2;9
782;expert;Chaitanya Bapat;2016;0;0;3;9
783;expert;VinayVikram;2018;0;0;3;9
784;expert;AJ Pass;2019;0;0;3;9
785;expert;R. Joseph Manoj, PhD;2019;0;0;4;9
786;expert;Jaswinder Singh;2019;0;0;3;9
787;expert;Max Nygma;2019;0;0;3;9
788;expert;Archit9406;2020;0;0;3;9
789;expert;Abhishek Parashar;2020;0;0;3;9
790;expert;Voler;2020;0;0;3;9
791;expert;Nikunj Malpani;2021;0;0;3;9
792;expert;LightlightsupLight;2021;0;0;3;9
793;expert;aegehbi;2021;0;0;3;9
794;expert;ColinMorris;2016;0;1;2;8
795;expert;Brett Kurzawa;2017;0;0;3;8
796;expert;AkshatGupta;2018;0;0;3;8
797;expert;Mobasshir Bhuiya Shagor;2018;0;0;3;8
798;expert;Sanchit Tanwar;2018;0;0;3;8
799;expert;Simran Jain;2018;0;0;3;8
800;expert;filipefilardi;2018;0;0;3;8
801;expert;Seol;2019;0;0;3;8
802;expert;Amanda;2019;0;0;3;8
803;expert;Bunty;2020;0;0;3;8
804;expert;DoVan;2020;0;0;4;8
805;expert;Sagar Shee;2020;0;0;3;8
806;expert;Nahian Rifaat;2020;0;0;3;8
807;expert;Anany Sharma;2020;0;0;3;8
808;expert;Bivek Subedi;2020;0;0;3;8
809;expert;Sachin Sharma;2020;0;0;3;8
810;expert;Shivam Mittal;2020;0;0;3;8
811;expert;Jay Faldu;2020;0;0;3;8
812;expert;Shyam R;2020;0;0;3;8
813;expert;Rohit Agarwal;2017;0;0;3;7
814;expert;Sudhir Kumar;2017;0;0;3;7
815;expert;AlexanderGeiger;2017;0;2;1;7
816;expert;Burak Batýbay;2019;0;0;3;7
817;expert;Sagnik;2020;0;0;3;7
818;expert;Niraj;2020;0;0;3;7
819;expert;Alberto Maria Falletta;2020;0;0;4;7
820;expert;Ujwal Kandi;2020;0;0;3;7
821;expert;Mohamed Fadl;2020;0;0;3;7
822;expert;Liu Shang;2020;0;0;3;7
823;expert;Praveen Kumar;2021;0;0;3;7
824;expert;Gaurav Sarkar;2021;0;0;3;7
825;expert;sandy1112;2016;0;0;3;6
826;expert;Maxime Fuccellaro;2017;0;0;4;6
827;expert;Semih Arýcan;2018;0;0;3;6
828;expert;Amaan;2019;0;0;4;6
829;expert;Nakul Singh;2019;0;0;3;6
830;expert;Andrea Garritano;2020;0;0;3;6
831;expert;vijay chauhan;2020;0;0;4;6
832;expert;Animesh Nareda;2020;0;0;3;6
833;expert;Chandan Verma;2014;0;0;3;5
834;expert;freeCodeCamp;2016;0;1;2;5
835;expert;kishorkumarJha;2017;0;0;3;5
836;expert;JobsPikr;2018;0;0;3;5
837;expert;Rafay;2019;0;0;3;5
838;expert;Efrad Galio;2019;0;0;3;5
839;expert;Sanskruti Panda;2020;0;0;3;5
840;expert;Icaro Freire;2020;0;0;3;5
841;expert;Linh Halley;2020;0;0;3;5
842;expert;Alexsumt;2019;0;0;3;4
843;expert;Jigyashu Suraj;2020;0;0;3;4
